,GEO_ID,NAME,total_population,tract,N_corrected,CARES_exclusion,County,CARES_exclusion_c
0,1400000US36061000100,"Census Tract 1, New York County, New York",0,36061000100,3.6793448000000004,-inf, New York County,0.0
1,1400000US36061000201,"Census Tract 2.01, New York County, New York",2835,36061000201,1352.9644252800001,0.522763871153439, New York County,0.522763871153439
2,1400000US36061000202,"Census Tract 2.02, New York County, New York",7764,36061000202,6075.1981368,0.21751698392581142, New York County,0.21751698392581142
3,1400000US36061000500,"Census Tract 5, New York County, New York",0,36061000500,,, New York County,0.0
4,1400000US36061000600,"Census Tract 6, New York County, New York",9731,36061000600,8625.930296879998,0.1135617822546503, New York County,0.1135617822546503
5,1400000US36061000700,"Census Tract 7, New York County, New York",8809,36061000700,8184.38473182,0.07090648974684988, New York County,0.07090648974684988
6,1400000US36061000800,"Census Tract 8, New York County, New York",8993,36061000800,9590.56009054,-0.06644724680751701, New York County,0.0
7,1400000US36061000900,"Census Tract 9, New York County, New York",1731,36061000900,3108.2514997599997,-0.7956392257423452, New York County,0.0
8,1400000US36061001001,"Census Tract 10.01, New York County, New York",1455,36061001001,2133.9540580800003,-0.4666350914639177, New York County,0.0
9,1400000US36061001002,"Census Tract 10.02, New York County, New York",5372,36061001002,3115.19741364,0.4201047256813105, New York County,0.4201047256813105
10,1400000US36061001200,"Census Tract 12, New York County, New York",4010,36061001200,3175.27352376,0.20816121601995008, New York County,0.20816121601995008
11,1400000US36061001300,"Census Tract 13, New York County, New York",4639,36061001300,5361.9361105200005,-0.15583878217719338, New York County,0.0
12,1400000US36061001401,"Census Tract 14.01, New York County, New York",3166,36061001401,5010.098542799999,-0.5824695334175614, New York County,0.0
13,1400000US36061001402,"Census Tract 14.02, New York County, New York",2748,36061001402,2675.8907619600004,0.026240625196506384, New York County,0.026240625196506384
14,1400000US36061001501,"Census Tract 15.01, New York County, New York",6993,36061001501,5833.36463775,0.1658280226297726, New York County,0.1658280226297726
15,1400000US36061001502,"Census Tract 15.02, New York County, New York",7926,36061001502,8601.491216650002,-0.08522473084153437, New York County,0.0
16,1400000US36061001600,"Census Tract 16, New York County, New York",7133,36061001600,5665.92957372,0.20567368937053132, New York County,0.20567368937053132
17,1400000US36061001800,"Census Tract 18, New York County, New York",7490,36061001800,6883.7226338400005,0.08094490869959936, New York County,0.08094490869959936
18,1400000US36061002000,"Census Tract 20, New York County, New York",4590,36061002000,2187.3874882799996,0.5234449916601308, New York County,0.5234449916601308
19,1400000US36061002100,"Census Tract 21, New York County, New York",6486,36061002100,5741.6384849,0.11476434090348453, New York County,0.11476434090348453
20,1400000US36061002201,"Census Tract 22.01, New York County, New York",6471,36061002201,5398.09013484,0.16580279171070933, New York County,0.16580279171070933
21,1400000US36061002202,"Census Tract 22.02, New York County, New York",1901,36061002202,2661.266997,-0.39993003524460824, New York County,0.0
22,1400000US36061002400,"Census Tract 24, New York County, New York",4151,36061002400,2080.17835656,0.4988729567429535, New York County,0.4988729567429535
23,1400000US36061002500,"Census Tract 25, New York County, New York",5508,36061002500,2186.40526065,0.6030491538398692, New York County,0.6030491538398692
24,1400000US36061002601,"Census Tract 26.01, New York County, New York",3675,36061002601,2359.50361728,0.35795819937959183, New York County,0.35795819937959183
25,1400000US36061002602,"Census Tract 26.02, New York County, New York",3845,36061002602,3237.2208,0.1580700130039011, New York County,0.1580700130039011
26,1400000US36061002700,"Census Tract 27, New York County, New York",1431,36061002700,975.9157154500001,0.3180183679594688, New York County,0.3180183679594688
27,1400000US36061002800,"Census Tract 28, New York County, New York",6690,36061002800,5203.85228472,0.22214465101345293, New York County,0.22214465101345293
28,1400000US36061002900,"Census Tract 29, New York County, New York",6365,36061002900,3811.93741587,0.4011095968782403, New York County,0.4011095968782403
29,1400000US36061003001,"Census Tract 30.01, New York County, New York",3952,36061003001,4519.47683148,-0.14359231565789488, New York County,0.0
30,1400000US36061003002,"Census Tract 30.02, New York County, New York",2915,36061003002,2508.0673592400003,0.13959953370840472, New York County,0.13959953370840472
31,1400000US36061003100,"Census Tract 31, New York County, New York",2659,36061003100,1982.2079149799997,0.2545288021887929, New York County,0.2545288021887929
32,1400000US36061003200,"Census Tract 32, New York County, New York",7822,36061003200,7211.462936479999,0.07805383067246241, New York County,0.07805383067246241
33,1400000US36061003300,"Census Tract 33, New York County, New York",5241,36061003300,6953.45646272,-0.3267423130547604, New York County,0.0
34,1400000US36061003400,"Census Tract 34, New York County, New York",6410,36061003400,6832.1141592,-0.06585244293291748, New York County,0.0
35,1400000US36061003601,"Census Tract 36.01, New York County, New York",3190,36061003601,2561.9964349199995,0.1968663213416929, New York County,0.1968663213416929
36,1400000US36061003602,"Census Tract 36.02, New York County, New York",3082,36061003602,1812.84472464,0.4117960010902011, New York County,0.4117960010902011
37,1400000US36061003700,"Census Tract 37, New York County, New York",2579,36061003700,3049.2919711800005,-0.18235438975571938, New York County,0.0
38,1400000US36061003800,"Census Tract 38, New York County, New York",8864,36061003800,6731.36610944,0.24059497862815882, New York County,0.24059497862815882
39,1400000US36061003900,"Census Tract 39, New York County, New York",6090,36061003900,3970.2680639000005,0.34806764139573065, New York County,0.34806764139573065
40,1400000US36061004000,"Census Tract 40, New York County, New York",8234,36061004000,5323.0118052,0.3535326930774836, New York County,0.3535326930774836
41,1400000US36061004100,"Census Tract 41, New York County, New York",8051,36061004100,5364.21658599,0.3337204588262328, New York County,0.3337204588262328
42,1400000US36061004200,"Census Tract 42, New York County, New York",5202,36061004200,2288.9617632,0.5599842823529412, New York County,0.5599842823529412
43,1400000US36061004300,"Census Tract 43, New York County, New York",3931,36061004300,3380.09177154,0.1401445506130755, New York County,0.1401445506130755
44,1400000US36061004400,"Census Tract 44, New York County, New York",16684,36061004400,9906.962940720001,0.40619977578997835, New York County,0.40619977578997835
45,1400000US36061004500,"Census Tract 45, New York County, New York",1015,36061004500,1606.73855241,-0.5829936476945814, New York County,0.0
46,1400000US36061004700,"Census Tract 47, New York County, New York",2236,36061004700,2625.6370276800003,-0.17425627355992868, New York County,0.0
47,1400000US36061004800,"Census Tract 48, New York County, New York",6249,36061004800,6542.932148399999,-0.04703666961113773, New York County,0.0
48,1400000US36061004900,"Census Tract 49, New York County, New York",4410,36061004900,3926.0194716299998,0.10974615155782319, New York County,0.10974615155782319
